source,platform,company,board_url,last_status,last_error,board_id,first_seen_utc,last_seen_utc
dead_confirmed,greenhouse,Oracle,https://boards.greenhouse.io/oracle,404,HTTP 404 (board not found),greenhouse:oracle,2026-02-16T03:55:53.418844+00:00,2026-02-16T03:55:53.418844+00:00
dead_confirmed,greenhouse,O'Reilly Auto Parts,https://boards.greenhouse.io/oreillyautoparts,404,HTTP 404 (board not found),greenhouse:oreillyautoparts,2026-02-16T03:55:53.517448+00:00,2026-02-16T03:55:53.517448+00:00
dead_confirmed,greenhouse,Oscar Health,https://boards.greenhouse.io/oscarhealth,404,HTTP 404 (board not found),greenhouse:oscarhealth,2026-02-16T03:55:53.704529+00:00,2026-02-16T03:55:53.704529+00:00
dead_confirmed,greenhouse,OTTO Motors,https://boards.greenhouse.io/ottomotors,404,HTTP 404 (board not found),greenhouse:ottomotors,2026-02-16T03:55:53.827350+00:00,2026-02-16T03:55:53.827350+00:00
dead_confirmed,greenhouse,Outreach,https://boards.greenhouse.io/outreach,404,HTTP 404 (board not found),greenhouse:outreach,2026-02-16T03:55:53.944454+00:00,2026-02-16T03:55:53.944454+00:00
dead_confirmed,greenhouse,PainReform,https://boards.greenhouse.io/painreform,404,HTTP 404 (board not found),greenhouse:painreform,2026-02-16T03:55:54.424409+00:00,2026-02-16T03:55:54.424409+00:00
dead_confirmed,greenhouse,Palo Alto Networks,https://boards.greenhouse.io/paloaltonetworks,404,HTTP 404 (board not found),greenhouse:paloaltonetworks,2026-02-16T03:55:54.523824+00:00,2026-02-16T03:55:54.523824+00:00
dead_confirmed,greenhouse,Parity Technologies,https://boards.greenhouse.io/paritytech,404,HTTP 404 (board not found),greenhouse:paritytech,2026-02-16T03:55:55.364817+00:00,2026-02-16T03:55:55.364817+00:00
dead_confirmed,greenhouse,PassFort,https://boards.greenhouse.io/passfort,404,HTTP 404 (board not found),greenhouse:passfort,2026-02-16T03:55:55.469762+00:00,2026-02-16T03:55:55.469762+00:00
dead_confirmed,greenhouse,Patreon,https://boards.greenhouse.io/patreon,404,HTTP 404 (board not found),greenhouse:patreon,2026-02-16T03:55:55.878954+00:00,2026-02-16T03:55:55.878954+00:00
dead_confirmed,greenhouse,Paychex,https://boards.greenhouse.io/paychex,404,HTTP 404 (board not found),greenhouse:paychex,2026-02-16T03:55:55.981475+00:00,2026-02-16T03:55:55.981475+00:00
dead_confirmed,greenhouse,Paycom,https://boards.greenhouse.io/paycom,404,HTTP 404 (board not found),greenhouse:paycom,2026-02-16T03:55:56.080962+00:00,2026-02-16T03:55:56.080962+00:00
